Dihedral;Count
0;0
1;0
2;1
3;1
4;0
5;3
6;3
7;0
8;0
9;0
10;0
11;1
12;1
13;0
14;0
15;0
16;0
17;0
18;1
19;0
20;0
21;1
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;1
32;0
33;0
34;0
35;0
36;0
37;1
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;1
47;0
48;2
49;4
50;4
51;2
52;4
53;4
54;6
55;8
56;6
57;6
58;7
59;10
60;15
61;8
62;9
63;21
64;11
65;13
66;12
67;10
68;17
69;22
70;17
71;16
72;10
73;21
74;12
75;13
76;11
77;9
78;5
79;7
80;4
81;8
82;9
83;3
84;5
85;4
86;3
87;4
88;9
89;5
90;2
91;1
92;1
93;3
94;3
95;2
96;6
97;0
98;2
99;1
100;2
101;4
102;3
103;3
104;3
105;3
106;5
107;5
108;3
109;6
110;2
111;2
112;4
113;3
114;3
115;0
116;2
117;2
118;2
119;5
120;1
121;7
122;3
123;3
124;2
125;2
126;2
127;5
128;4
129;4
130;3
131;3
132;8
133;3
134;3
135;8
136;2
137;2
138;3
139;4
140;7
141;4
142;4
143;7
144;6
145;5
146;5
147;3
148;2
149;4
150;5
151;4
152;1
153;6
154;3
155;7
156;4
157;11
158;6
159;4
160;7
161;7
162;9
163;9
164;14
165;23
166;13
167;16
168;26
169;18
170;24
171;33
172;37
173;61
174;65
175;57
176;69
177;84
178;60
179;59
180;29
