Index;Element;X;Y;Z;FragmentID
0;C;120.96764984515856;117.38787073471046;97.79417382289063;0
1;C;120.09864294570016;117.77481536309602;98.96761735707474;0
2;C;122.2777353128216;118.18464914345331;97.79002084027601;0
3;C;123.15999849037755;117.85947100970292;98.99435209647747;0
4;H;122.82679871625652;117.94949003916172;96.87684805940805;0
5;H;122.04556763722974;119.25165688991797;97.77964294499976;0
6;C;124.47786780597816;118.63511350357788;98.93402169106564;0
7;H;122.63377397195131;118.10847186864956;99.91880320408289;0
8;H;123.38287074065158;116.79188784748713;99.00444640887807;0
9;C;125.35890808930183;118.33991490762398;100.13399468060912;0
10;H;125.01342473178126;118.36007488578473;98.02489872656245;0
11;H;124.27239408831132;119.70706459604348;98.91803151920013;0
12;N;126.0424971352483;117.1964937990528;100.06914576097445;0
13;O;119.72770251330374;119.03349057824919;98.92161749440025;0
14;O;119.77084704876762;117.00808764371365;99.8509428463427;0
15;H;119.23849045826006;119.3478573962025;99.74165598538555;0
16;H;120.41501659650426;117.6100952138134;96.88058620431812;0
17;H;121.17245262596803;116.31877733489226;97.84288394592902;0
18;C;126.98394106644535;116.80679427833161;101.10262267392704;1
19;H;125.9241153947105;116.57545914220525;99.27437869444616;0
20;C;127.46443817754917;115.3751250525288;100.92180728251523;1
21;H;127.83889088176437;117.49386748347192;101.07833685876906;1
22;H;126.50937362069365;116.92186958555038;102.0829571341211;1
23;C;128.3640956505257;114.97035977817609;102.08726805893062;1
24;H;126.60197844273182;114.7077399769602;100.87011979018529;1
25;H;128.01111100771902;115.29580855125593;99.98049984804436;1
26;C;128.97978464358872;113.5859180045937;101.90275951509196;1
27;H;129.1638109895893;115.70625410826406;102.1900177407777;1
28;H;127.7765388246222;114.9930489250273;103.00698218770746;1
29;C;129.78323932317272;113.17211733891872;103.13461117401803;1
30;H;128.186251799504;112.859906302183;101.72561438181049;1
31;H;129.630927892577;113.5905307222697;101.02682596386222;1
32;C;130.35551445814025;111.76924015906305;102.99778857829915;1
33;H;130.6029033616608;113.87683818613056;103.28646821538615;1
34;H;129.14162940685716;113.21204636449134;104.0161955846992;1
35;N;131.11759852277277;111.39836201426651;104.17531835289685;1
36;H;129.55174513254545;111.03760846666925;102.86146167810016;1
37;H;131.0122195850888;111.71478228838;102.12058612509524;1
38;C;131.60810372811062;110.17035214809076;104.34737371930531;1
39;H;131.2988559076887;112.11098609081202;104.87301552308205;1
40;O;125.43357171372256;119.10303003004755;101.09723498574996;0
41;C;132.43086779846945;109.97588999179057;105.60335554988804;1
42;C;131.81042428319313;108.89748006920864;106.49305211526034;1
